fecha,Embalse,C2RCC,C2X,C2XC,Medicion
2017-06-01,Acebo,4.012206077575684,29.46921157836914,90.35588073730469,3.0
2017-06-01,Aguijon,,,,
2017-06-01,Alcuescar,,,,
2017-06-01,Aldea del Cano,,,,
2017-06-01,Aliseda,,,,
2017-06-01,Alpotrel,,,,
2017-06-01,Arrocerezal,,,,
2017-06-01,Brozas,,,,
2017-06-01,Burguillos del Cerro,,,,
2017-06-01,Cantalgallo,,,,
2017-06-01,Carrascalejo,,,,
2017-06-01,El Santo,,,,
2017-06-01,Garciaz,,,,
2017-06-01,Garganta del Obispo,,,,
2017-06-01,Guadalupe,,,,
2017-06-01,Hervas,,,,
2017-06-01,Jaime Ozores,23.255043029785156,126.44527435302734,292.7429504394531,18.0
2017-06-01,Llerena,,,,
2017-06-01,Los Angeles,,,,
2017-06-01,Los Huertos,,,,
2017-06-01,Madronnera,,,,
2017-06-01,Majadillas,,,,
2017-06-01,Majarrobledo,,,,
2017-06-01,Membrio,,,,
2017-06-01,Navarredonda,,,,
2017-06-01,Navas del Madronno,,,,
2017-06-01,Nogales,,,,
2017-06-01,Palomero,,,,
2017-06-01,Pretura del Molino,,,,
2017-06-01,Ribera del Castanno,,,,
2017-06-01,Rubiales,,,,
2017-06-01,San Marcos,,,,
2017-06-01,Santa Lucia,,,,
2017-06-01,Talavan,14.817668914794922,19.165842056274414,32.95625686645508,10.8
2017-06-01,Tres Torres,,,,
2017-06-01,la Pesga,,,,
2017-11-01,Acebo,,,,
2017-11-01,Aguijon,,,,
2017-11-01,Alcuescar,,,,
2017-11-01,Aldea del Cano,,,,
2017-11-01,Aliseda,,,,
2017-11-01,Alpotrel,,,,
2017-11-01,Arrocerezal,,,,
2017-11-01,Brozas,,,,
2017-11-01,Burguillos del Cerro,,,,
2017-11-01,Cantalgallo,,,,
2017-11-01,Carrascalejo,,,,
2017-11-01,El Santo,,,,
2017-11-01,Garciaz,,,,
2017-11-01,Garganta del Obispo,,,,
2017-11-01,Guadalupe,,,,
2017-11-01,Hervas,,,,
2017-11-01,Jaime Ozores,77.5376205444336,887.808837890625,2342.577880859375,74.0
2017-11-01,Llerena,,,,
2017-11-01,Los Angeles,,,,
2017-11-01,Los Huertos,,,,
2017-11-01,Madronnera,,,,
